Adsorbate,Facet,CN,Site,n_metal,GCN,Valency,chi,Bader,ed,wd,E_bind,E_ads,n_H,n_H_NN
C,4AD_100,6,four-fold hollow,4,3.39,4,2.55,4,-2.02,1.96,-6.822087,-8.096605,0,0
CO,111,9,top,1,7.5,2,2.55,2.9918,-2.08,2.09,-1.760244,-16.213925,0,0
CO,111,9,bridge,2,7.33,2,2.55,2.9918,-2.08,2.09,-1.830938,-16.284619,0,0
CO,111,9,three-fold hollow,3,6.95,2,2.55,2.9918,-2.08,2.09,-1.845575,-16.299256,0,0
CO,100,8,top,1,6.67,2,2.55,2.9918,-2,1.96,-2.101961,-16.555642,0,0
CO,100,8,bridge ,2,6.67,2,2.55,2.9918,-2,1.96,-2.292187,-16.745868,0,0
CO,110,7,top,1,5.83,2,2.55,2.9918,-1.94,1.87,-2.081804,-16.535485,0,0
CO,110,7,bridge,2,5.78,2,2.55,2.9918,-1.94,1.87,-2.236544,-16.690225,0,0
CO,211,7,top,1,5.5,2,2.55,2.9918,-2.09,1.99,-2.056926,-16.510607,0,0
CO,211,7,bridge,2,5.39,2,2.55,2.9918,-2.09,1.99,-2.121593,-16.575274,0,0
CO,221,7,top,1,5.5,2,2.55,2.9918,-2.09,1.99,-2.115336,-16.569017,0,0
CO,221,7,bridge,2,5.44,2,2.55,2.9918,-2.09,1.99,-2.022097,-16.475778,0,0
CO,322,7,top,1,5.5,2,2.55,2.9918,-2.02,1.95,-2.141981,-16.595662,0,0
CO,322,7,bridge,2,5.39,2,2.55,2.9918,-2.02,1.95,-2.234339,-16.68802,0,0
CO,1AD_111,3,top,1,2.5,2,2.55,2.9918,-1.59,1.6,-1.991475,-16.445156,0,0
CO,1AD_100,4,top,1,3,2,2.55,2.9918,-1.85,1.69,-1.963632,-16.417313,0,0
CO,2AD_111,4,top,1,2.92,2,2.55,2.9918,-1.75,1.73,-2.391181,-16.844862,0,0
CO,2AD_111,4,bridge,2,2.83,2,2.55,2.9918,-1.75,1.73,-2.240212,-16.693893,0,0
CO,2AD_100,5,top,1,3.58,2,2.55,2.9918,-1.99,1.83,-2.135737,-16.589418,0,0
